Week_Start,SKU,Product_Name,Category,Actual_Units,Origin_Index,Origin_Date,Horizon_Step,Pred_Baseline,Pred_ML
2025-05-19,SKU001,Product 001,Furniture,119,71,2025-05-12,1,115,120.4
2025-05-19,SKU002,Product 002,Home Decor,82,71,2025-05-12,1,78,80.9
2025-05-19,SKU003,Product 003,Kitchen,43,71,2025-05-12,1,50,42.0
2025-05-19,SKU004,Product 004,Lighting,38,71,2025-05-12,1,40,37.7
2025-05-19,SKU005,Product 005,Storage,137,71,2025-05-12,1,118,119.2
2025-05-19,SKU006,Product 006,Furniture,51,71,2025-05-12,1,58,62.5
2025-05-19,SKU007,Product 007,Home Decor,203,71,2025-05-12,1,209,185.6
2025-05-19,SKU008,Product 008,Kitchen,118,71,2025-05-12,1,137,130.4
2025-05-19,SKU009,Product 009,Lighting,88,71,2025-05-12,1,83,95.4
2025-05-19,SKU010,Product 010,Storage,141,71,2025-05-12,1,141,149.2
2025-05-19,SKU011,Product 011,Furniture,16,71,2025-05-12,1,17,16.7
2025-05-19,SKU012,Product 012,Home Decor,202,71,2025-05-12,1,183,197.0
2025-05-19,SKU013,Product 013,Kitchen,90,71,2025-05-12,1,113,119.1
2025-05-19,SKU014,Product 014,Lighting,164,71,2025-05-12,1,168,168.0
2025-05-19,SKU015,Product 015,Storage,27,71,2025-05-12,1,36,36.3
2025-05-19,SKU016,Product 016,Furniture,107,71,2025-05-12,1,122,119.1
2025-05-19,SKU017,Product 017,Home Decor,114,71,2025-05-12,1,122,120.3
2025-05-19,SKU018,Product 018,Kitchen,201,71,2025-05-12,1,185,206.7
2025-05-19,SKU019,Product 019,Lighting,131,71,2025-05-12,1,131,123.2
2025-05-19,SKU020,Product 020,Storage,105,71,2025-05-12,1,120,114.6
2025-05-19,SKU021,Product 021,Furniture,70,71,2025-05-12,1,61,68.8
2025-05-19,SKU022,Product 022,Home Decor,93,71,2025-05-12,1,82,82.4
2025-05-19,SKU023,Product 023,Kitchen,118,71,2025-05-12,1,101,123.3
2025-05-19,SKU024,Product 024,Lighting,91,71,2025-05-12,1,104,108.8
2025-05-19,SKU025,Product 025,Storage,19,71,2025-05-12,1,15,16.5
2025-05-19,SKU026,Product 026,Furniture,177,71,2025-05-12,1,180,174.7
2025-05-19,SKU027,Product 027,Home Decor,204,71,2025-05-12,1,193,195.9
