Snapshot_Date,SKU,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value,is_active_sales_sku,Product_Status,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,Negative_Margin_Flag,fc_w1,fc_w2,forward_demand_units,forward_demand_8w,fc_avg_weekly,lead_time_demand,available_units,required_inventory_buffer,required_buffer,stockout_flag,current_stock_below_reorder_point,reorder_gap_units,lead_time_stock_gap,safety_stock_gap,buffer_gap_units,stock_gap_units,stockout_score,excess_units,overstock_score,overstock_flag,decision_quadrant,recommended_action,action_rationale,units_at_stockout_risk,revenue_at_risk,inventory_value_tied_up,value_at_stake
2025-12-01,SKU001,771,147,4,159,289,2815160.01,True,Active Commercial,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,0.0,89.8,92.6,367.4,777.2,97.2,51.3,918,210.3,210.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,403.6,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 771 units vs 4-week forecast demand of 367.4; 403.6 excess units.,0.0,0.0,709710.42,709710.42
2025-12-01,SKU002,526,29,3,94,149,2974319.6,True,Active Commercial,Product 002,Home Decor,Table,2024-05-01,3867.09,3805.69,-61.4,1.0,60.8,58.6,250.3,540.0,67.5,26.1,555,120.1,120.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,275.7,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 526 units vs 4-week forecast demand of 250.3; 275.7 excess units.,0.0,0.0,1066156.71,1066156.71
2025-12-01,SKU003,349,12,3,88,123,2145941.67,True,Active Commercial,Product 003,Kitchen,Cushion,2023-12-22,589.48,8078.23,7488.75,0.0,33.1,33.2,137.7,290.0,36.2,14.2,361,102.2,102.2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,211.3,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 349 units vs 4-week forecast demand of 137.7; 211.3 excess units.,0.0,0.0,124557.12,124557.12
2025-12-01,SKU004,259,254,6,98,196,321905.92,True,Active Commercial,Product 004,Lighting,Cookware,2023-04-28,1445.74,6861.57,5415.83,0.0,35.1,34.5,137.7,285.6,35.7,30.1,513,128.1,128.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,121.3,0.94,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 259 units vs 4-week forecast demand of 137.7; 121.3 excess units.,0.0,0.0,175368.26,175368.26
2025-12-01,SKU005,471,291,6,129,245,3500674.53,True,Active Commercial,Product 005,Storage,Lamp,2023-04-22,5543.63,9493.22,3949.59,0.0,115.8,114.5,457.9,928.6,116.1,99.3,762,228.3,228.3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.514,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 471 units vs 4-week forecast demand of 457.9; 13.1 excess units.,0.0,0.0,72621.55,72621.55
2025-12-01,SKU006,359,485,13,129,340,2378877.6,True,Active Commercial,Product 006,Furniture,Shelf,2024-08-02,6021.91,8106.04,2084.13,0.0,42.5,44.3,180.7,374.1,46.8,80.5,844,209.5,209.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,178.3,0.993,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 359 units vs 4-week forecast demand of 180.7; 178.3 excess units.,0.0,0.0,1073706.55,1073706.55
2025-12-01,SKU007,207,460,8,98,237,941442.21,True,Active Commercial,Product 007,Home Decor,Cabinet,2022-04-05,7748.2,5114.09,-2634.11,1.0,170.4,164.5,675.2,1404.4,175.6,193.9,667,291.9,291.9,0,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0,Healthy,Maintain current inventory position and monitor,Available inventory (667) safely covers required buffer (291.9) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU008,325,155,3,91,161,2165845.5,True,Active Commercial,Product 008,Kitchen,Rug,2024-02-07,2775.15,9842.64,7067.49,0.0,112.3,118.0,456.0,917.0,114.6,48.1,480,139.1,139.1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.356,0,Healthy,Maintain current inventory position and monitor,Available inventory (480) safely covers required buffer (139.1) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU009,75,89,7,63,131,224818.5,True,Active Commercial,Product 009,Lighting,Organizer,2022-08-10,3121.06,2336.89,-784.17,1.0,78.3,80.5,321.9,651.9,81.5,78.3,164,141.3,141.3,0,1,56.0,0.0,0.0,0.0,0.0,0.42,0.0,0.116,0,Healthy,Maintain current inventory position and monitor,Available inventory (164) safely covers required buffer (141.3) and stock is within 4-week demand.,0.0,0.0,0.0,0.0
2025-12-01,SKU010,83,70,13,22,60,595250.27,True,Active Commercial,Product 010,Storage,Sofa,2022-04-14,3889.06,663.46,-3225.6,1.0,114.3,117.9,454.7,905.3,113.2,215.4,153,237.4,237.4,1,0,0.0,62.4,0.0,84.4,84.4,0.678,0.0,0.091,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (153) breaches required buffer (237.4 = 215.4 LTD + 22 SS); buffer gap is 84.4 units.,84.4,55996.02,0.0,55996.02
2025-12-01,SKU011,753,269,3,179,247,2911918.77,True,Active Commercial,Product 011,Furniture,Chair,2023-08-03,1718.4,1444.56,-273.84,1.0,18.7,19.7,81.6,165.9,20.7,8.0,1022,187.0,187.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,671.4,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 753 units vs 4-week forecast demand of 81.6; 671.4 excess units.,0.0,0.0,1153733.76,1153733.76
