Forecast_Week,Horizon_Step,SKU,Product_Name,Category,Subcategory,Forecast_Units,Baseline_Units,ML_Units,Interval_P10,Interval_P90,Selling_Price,Cost_Price,Forecast_Revenue,Forecast_Method
2025-12-29,1,SKU001,Product 001,Furniture,Chair,89.8,78.0,89.8,82.9,97.0,3664.05,1758.45,329031.69,HistGradientBoostingRegressor
2025-12-29,1,SKU002,Product 002,Home Decor,Table,60.8,70.0,60.8,53.9,68.0,3805.69,3867.09,231385.95,HistGradientBoostingRegressor
2025-12-29,1,SKU003,Product 003,Kitchen,Cushion,33.1,32.0,33.1,26.2,40.3,8078.23,589.48,267389.41,HistGradientBoostingRegressor
2025-12-29,1,SKU004,Product 004,Lighting,Cookware,35.1,37.0,35.1,28.2,42.3,6861.57,1445.74,240841.11,HistGradientBoostingRegressor
2025-12-29,1,SKU005,Product 005,Storage,Lamp,115.8,111.0,115.8,108.9,123.0,9493.22,5543.63,1099314.88,HistGradientBoostingRegressor
2025-12-29,1,SKU006,Product 006,Furniture,Shelf,42.5,45.0,42.5,35.6,49.7,8106.04,6021.91,344506.7,HistGradientBoostingRegressor
2025-12-29,1,SKU007,Product 007,Home Decor,Cabinet,170.4,175.0,170.4,163.5,177.6,5114.09,7748.2,871440.94,HistGradientBoostingRegressor
2025-12-29,1,SKU008,Product 008,Kitchen,Rug,112.3,103.0,112.3,105.4,119.5,9842.64,2775.15,1105328.47,HistGradientBoostingRegressor
2025-12-29,1,SKU009,Product 009,Lighting,Organizer,78.3,66.0,78.3,71.4,85.5,2336.89,3121.06,182978.49,HistGradientBoostingRegressor
2025-12-29,1,SKU010,Product 010,Storage,Sofa,114.3,116.0,114.3,107.4,121.5,663.46,3889.06,75833.48,HistGradientBoostingRegressor
2025-12-29,1,SKU011,Product 011,Furniture,Chair,18.7,17.0,18.7,11.8,25.9,1444.56,1718.4,27013.27,HistGradientBoostingRegressor
2025-12-29,1,SKU012,Product 012,Home Decor,Table,174.8,161.0,174.8,167.9,182.0,8779.37,1256.89,1534633.88,HistGradientBoostingRegressor
2025-12-29,1,SKU013,Product 013,Kitchen,Cushion,85.0,82.0,85.0,78.1,92.2,5757.78,3936.71,489411.3,HistGradientBoostingRegressor
2025-12-29,1,SKU014,Product 014,Lighting,Cookware,132.6,131.0,132.6,125.7,139.8,2270.75,2008.55,301101.45,HistGradientBoostingRegressor
2025-12-29,1,SKU015,Product 015,Storage,Lamp,24.6,31.0,24.6,17.7,31.8,6212.12,5441.06,152818.15,HistGradientBoostingRegressor
2025-12-29,1,SKU016,Product 016,Furniture,Shelf,87.7,92.0,87.7,80.8,94.9,2166.82,3637.93,190030.11,HistGradientBoostingRegressor
2025-12-29,1,SKU017,Product 017,Home Decor,Cabinet,100.0,85.0,100.0,93.1,107.2,8477.32,6703.26,847732.0,HistGradientBoostingRegressor
2025-12-29,1,SKU018,Product 018,Kitchen,Rug,174.8,181.0,174.8,167.9,182.0,5575.41,5677.05,974581.67,HistGradientBoostingRegressor
2025-12-29,1,SKU019,Product 019,Lighting,Organizer,107.0,100.0,107.0,100.1,114.2,4819.85,2670.84,515723.95,HistGradientBoostingRegressor
2025-12-29,1,SKU020,Product 020,Storage,Sofa,95.9,93.0,95.9,89.0,103.1,3897.54,6700.01,373774.09,HistGradientBoostingRegressor
2025-12-29,1,SKU021,Product 021,Furniture,Chair,52.3,48.0,52.3,45.4,59.5,7711.28,6486.92,403299.94,HistGradientBoostingRegressor
2025-12-29,1,SKU022,Product 022,Home Decor,Table,73.5,77.0,73.5,66.6,80.7,4597.03,3252.96,337881.7,HistGradientBoostingRegressor
2025-12-29,1,SKU023,Product 023,Kitchen,Cushion,108.8,117.0,108.8,101.9,116.0,1416.74,2484.54,154141.31,HistGradientBoostingRegressor
2025-12-29,1,SKU024,Product 024,Lighting,Cookware,86.4,101.0,86.4,79.5,93.6,1768.87,5539.34,152830.37,HistGradientBoostingRegressor
2025-12-29,1,SKU025,Product 025,Storage,Lamp,19.0,15.0,19.0,12.1,26.2,11558.01,1333.08,219602.19,HistGradientBoostingRegressor
2025-12-29,1,SKU026,Product 026,Furniture,Shelf,156.8,147.0,156.8,149.9,164.0,10939.54,1799.29,1715319.87,HistGradientBoostingRegressor
2025-12-29,1,SKU027,Product 027,Home Decor,Cabinet,174.5,185.0,174.5,167.6,181.7,8516.6,307.06,1486146.7,HistGradientBoostingRegressor
2025-12-29,1,SKU028,Product 028,Kitchen,Rug,33.7,47.0,33.7,26.8,40.9,3484.09,6348.66,117413.83,HistGradientBoostingRegressor
2025-12-29,1,SKU029,Product 029,Lighting,Organizer,106.6,114.0,106.6,99.7,113.8,11642.45,5402.59,1241085.17,HistGradientBoostingRegressor
2025-12-29,1,SKU030,Product 030,Storage,Sofa,29.4,21.0,29.4,22.5,36.6,9433.51,5715.03,277345.19,HistGradientBoostingRegressor
2025-12-29,1,SKU031,Product 031,Furniture,Chair,121.8,138.0,121.8,114.9,129.0,8715.93,6300.65,1061600.27,HistGradientBoostingRegressor
2025-12-29,1,SKU032,Product 032,Home Decor,Table,60.4,57.0,60.4,53.5,67.6,5612.59,3806.6,339000.44,HistGradientBoostingRegressor
2025-12-29,1,SKU033,Product 033,Kitchen,Cushion,109.3,103.0,109.3,102.4,116.5,3558.0,4657.74,388889.4,HistGradientBoostingRegressor
2025-12-29,1,SKU034,Product 034,Lighting,Cookware,133.9,129.0,133.9,127.0,141.1,1518.14,1333.43,203278.95,HistGradientBoostingRegressor
2025-12-29,1,SKU035,Product 035,Storage,Lamp,143.3,139.0,143.3,136.4,150.5,10870.19,1137.61,1557698.23,HistGradientBoostingRegressor
2025-12-29,1,SKU036,Product 036,Furniture,Shelf,30.8,22.0,30.8,23.9,38.0,5687.0,5430.12,175159.6,HistGradientBoostingRegressor
2025-12-29,1,SKU037,Product 037,Home Decor,Cabinet,158.5,159.0,158.5,151.6,165.7,2747.42,3901.0,435466.07,HistGradientBoostingRegressor
2025-12-29,1,SKU038,Product 038,Kitchen,Rug,51.2,57.0,51.2,44.3,58.4,3949.1,4630.58,202193.92,HistGradientBoostingRegressor
2025-12-29,1,SKU039,Product 039,Lighting,Organizer,18.2,13.0,18.2,11.3,25.4,7118.95,6178.74,129564.89,HistGradientBoostingRegressor
2025-12-29,1,SKU040,Product 040,Storage,Sofa,93.9,101.0,93.9,87.0,101.1,2450.56,5169.07,230107.58,HistGradientBoostingRegressor
2025-12-29,1,SKU041,Product 041,Furniture,Chair,75.9,74.0,75.9,69.0,83.1,10336.73,4540.24,784557.81,HistGradientBoostingRegressor
2025-12-29,1,SKU042,Product 042,Home Decor,Table,159.7,157.0,159.7,152.8,166.9,9198.83,4583.86,1469053.15,HistGradientBoostingRegressor
2025-12-29,1,SKU043,Product 043,Kitchen,Cushion,162.4,169.0,162.4,155.5,169.6,8745.77,2605.61,1420313.05,HistGradientBoostingRegressor
2025-12-29,1,SKU044,Product 044,Lighting,Cookware,62.0,63.0,62.0,55.1,69.2,5412.28,488.84,335561.36,HistGradientBoostingRegressor
2025-12-29,1,SKU045,Product 045,Storage,Lamp,164.8,162.0,164.8,157.9,172.0,7676.78,3634.56,1265133.34,HistGradientBoostingRegressor
2025-12-29,1,SKU046,Product 046,Furniture,Shelf,58.6,56.0,58.6,51.7,65.8,7175.54,1913.03,420486.64,HistGradientBoostingRegressor
2025-12-29,1,SKU047,Product 047,Home Decor,Cabinet,108.4,114.0,108.4,101.5,115.6,7938.22,3416.1,860503.05,HistGradientBoostingRegressor
2025-12-29,1,SKU048,Product 048,Kitchen,Rug,52.0,52.0,52.0,45.1,59.2,1379.55,6863.87,71736.6,HistGradientBoostingRegressor
2025-12-29,1,SKU049,Product 049,Lighting,Organizer,177.8,198.0,177.8,170.9,185.0,5223.37,2063.03,928715.19,HistGradientBoostingRegressor
2025-12-29,1,SKU050,Product 050,Storage,Sofa,40.8,47.0,40.8,33.9,48.0,882.72,701.85,36014.98,HistGradientBoostingRegressor
2026-01-05,2,SKU001,Product 001,Furniture,Chair,92.6,100.0,92.6,85.7,99.8,3664.05,1758.45,339291.03,HistGradientBoostingRegressor
2026-01-05,2,SKU002,Product 002,Home Decor,Table,58.6,63.0,58.6,51.7,65.8,3805.69,3867.09,223013.43,HistGradientBoostingRegressor
2026-01-05,2,SKU003,Product 003,Kitchen,Cushion,33.2,34.0,33.2,26.3,40.4,8078.23,589.48,268197.24,HistGradientBoostingRegressor
2026-01-05,2,SKU004,Product 004,Lighting,Cookware,34.5,35.0,34.5,27.6,41.7,6861.57,1445.74,236724.16,HistGradientBoostingRegressor
2026-01-05,2,SKU005,Product 005,Storage,Lamp,114.5,97.0,114.5,107.6,121.7,9493.22,5543.63,1086973.69,HistGradientBoostingRegressor
2026-01-05,2,SKU006,Product 006,Furniture,Shelf,44.3,50.0,44.3,37.4,51.5,8106.04,6021.91,359097.57,HistGradientBoostingRegressor
2026-01-05,2,SKU007,Product 007,Home Decor,Cabinet,164.5,171.0,164.5,157.6,171.7,5114.09,7748.2,841267.81,HistGradientBoostingRegressor
2026-01-05,2,SKU008,Product 008,Kitchen,Rug,118.0,105.0,118.0,111.1,125.2,9842.64,2775.15,1161431.52,HistGradientBoostingRegressor
2026-01-05,2,SKU009,Product 009,Lighting,Organizer,80.5,55.0,80.5,73.6,87.7,2336.89,3121.06,188119.64,HistGradientBoostingRegressor
2026-01-05,2,SKU010,Product 010,Storage,Sofa,117.9,118.0,117.9,111.0,125.1,663.46,3889.06,78221.93,HistGradientBoostingRegressor
2026-01-05,2,SKU011,Product 011,Furniture,Chair,19.7,21.0,19.7,12.8,26.9,1444.56,1718.4,28457.83,HistGradientBoostingRegressor
2026-01-05,2,SKU012,Product 012,Home Decor,Table,173.7,180.0,173.7,166.8,180.9,8779.37,1256.89,1524976.57,HistGradientBoostingRegressor
2026-01-05,2,SKU013,Product 013,Kitchen,Cushion,91.7,93.0,91.7,84.8,98.9,5757.78,3936.71,527988.43,HistGradientBoostingRegressor
2026-01-05,2,SKU014,Product 014,Lighting,Cookware,137.2,131.0,137.2,130.3,144.4,2270.75,2008.55,311546.9,HistGradientBoostingRegressor
2026-01-05,2,SKU015,Product 015,Storage,Lamp,26.2,25.0,26.2,19.3,33.4,6212.12,5441.06,162757.54,HistGradientBoostingRegressor
2026-01-05,2,SKU016,Product 016,Furniture,Shelf,87.9,97.0,87.9,81.0,95.1,2166.82,3637.93,190463.48,HistGradientBoostingRegressor
2026-01-05,2,SKU017,Product 017,Home Decor,Cabinet,98.5,97.0,98.5,91.6,105.7,8477.32,6703.26,835016.02,HistGradientBoostingRegressor
2026-01-05,2,SKU018,Product 018,Kitchen,Rug,176.2,172.0,176.2,169.3,183.4,5575.41,5677.05,982387.24,HistGradientBoostingRegressor
2026-01-05,2,SKU019,Product 019,Lighting,Organizer,115.2,114.0,115.2,108.3,122.4,4819.85,2670.84,555246.72,HistGradientBoostingRegressor
2026-01-05,2,SKU020,Product 020,Storage,Sofa,92.6,83.0,92.6,85.7,99.8,3897.54,6700.01,360912.2,HistGradientBoostingRegressor
2026-01-05,2,SKU021,Product 021,Furniture,Chair,55.7,63.0,55.7,48.8,62.9,7711.28,6486.92,429518.3,HistGradientBoostingRegressor
2026-01-05,2,SKU022,Product 022,Home Decor,Table,77.3,77.0,77.3,70.4,84.5,4597.03,3252.96,355350.42,HistGradientBoostingRegressor
2026-01-05,2,SKU023,Product 023,Kitchen,Cushion,109.7,114.0,109.7,102.8,116.9,1416.74,2484.54,155416.38,HistGradientBoostingRegressor
2026-01-05,2,SKU024,Product 024,Lighting,Cookware,84.8,77.0,84.8,77.9,92.0,1768.87,5539.34,150000.18,HistGradientBoostingRegressor
2026-01-05,2,SKU025,Product 025,Storage,Lamp,19.5,21.0,19.5,12.6,26.7,11558.01,1333.08,225381.2,HistGradientBoostingRegressor
2026-01-05,2,SKU026,Product 026,Furniture,Shelf,149.5,165.0,149.5,142.6,156.7,10939.54,1799.29,1635461.23,HistGradientBoostingRegressor
2026-01-05,2,SKU027,Product 027,Home Decor,Cabinet,167.2,167.0,167.2,160.3,174.4,8516.6,307.06,1423975.52,HistGradientBoostingRegressor
2026-01-05,2,SKU028,Product 028,Kitchen,Rug,31.6,41.0,31.6,24.7,38.8,3484.09,6348.66,110097.24,HistGradientBoostingRegressor
2026-01-05,2,SKU029,Product 029,Lighting,Organizer,111.7,110.0,111.7,104.8,118.9,11642.45,5402.59,1300461.67,HistGradientBoostingRegressor
2026-01-05,2,SKU030,Product 030,Storage,Sofa,32.3,31.0,32.3,25.4,39.5,9433.51,5715.03,304702.37,HistGradientBoostingRegressor
2026-01-05,2,SKU031,Product 031,Furniture,Chair,130.5,145.0,130.5,123.6,137.7,8715.93,6300.65,1137428.86,HistGradientBoostingRegressor
2026-01-05,2,SKU032,Product 032,Home Decor,Table,59.0,54.0,59.0,52.1,66.2,5612.59,3806.6,331142.81,HistGradientBoostingRegressor
2026-01-05,2,SKU033,Product 033,Kitchen,Cushion,119.0,123.0,119.0,112.1,126.2,3558.0,4657.74,423402.0,HistGradientBoostingRegressor
2026-01-05,2,SKU034,Product 034,Lighting,Cookware,138.0,128.0,138.0,131.1,145.2,1518.14,1333.43,209503.32,HistGradientBoostingRegressor
2026-01-05,2,SKU035,Product 035,Storage,Lamp,147.4,149.0,147.4,140.5,154.6,10870.19,1137.61,1602266.01,HistGradientBoostingRegressor
2026-01-05,2,SKU036,Product 036,Furniture,Shelf,32.4,32.0,32.4,25.5,39.6,5687.0,5430.12,184258.8,HistGradientBoostingRegressor
2026-01-05,2,SKU037,Product 037,Home Decor,Cabinet,162.5,156.0,162.5,155.6,169.7,2747.42,3901.0,446455.75,HistGradientBoostingRegressor
2026-01-05,2,SKU038,Product 038,Kitchen,Rug,51.1,48.0,51.1,44.2,58.3,3949.1,4630.58,201799.01,HistGradientBoostingRegressor
2026-01-05,2,SKU039,Product 039,Lighting,Organizer,20.0,25.0,20.0,13.1,27.2,7118.95,6178.74,142379.0,HistGradientBoostingRegressor
2026-01-05,2,SKU040,Product 040,Storage,Sofa,100.6,115.0,100.6,93.7,107.8,2450.56,5169.07,246526.34,HistGradientBoostingRegressor
2026-01-05,2,SKU041,Product 041,Furniture,Chair,77.3,98.0,77.3,70.4,84.5,10336.73,4540.24,799029.23,HistGradientBoostingRegressor
2026-01-05,2,SKU042,Product 042,Home Decor,Table,145.3,137.0,145.3,138.4,152.5,9198.83,4583.86,1336590.0,HistGradientBoostingRegressor
2026-01-05,2,SKU043,Product 043,Kitchen,Cushion,160.4,166.0,160.4,153.5,167.6,8745.77,2605.61,1402821.51,HistGradientBoostingRegressor
2026-01-05,2,SKU044,Product 044,Lighting,Cookware,71.6,76.0,71.6,64.7,78.8,5412.28,488.84,387519.25,HistGradientBoostingRegressor
2026-01-05,2,SKU045,Product 045,Storage,Lamp,168.3,169.0,168.3,161.4,175.5,7676.78,3634.56,1292002.07,HistGradientBoostingRegressor
2026-01-05,2,SKU046,Product 046,Furniture,Shelf,68.4,72.0,68.4,61.5,75.6,7175.54,1913.03,490806.94,HistGradientBoostingRegressor
2026-01-05,2,SKU047,Product 047,Home Decor,Cabinet,104.5,110.0,104.5,97.6,111.7,7938.22,3416.1,829543.99,HistGradientBoostingRegressor
2026-01-05,2,SKU048,Product 048,Kitchen,Rug,54.5,57.0,54.5,47.6,61.7,1379.55,6863.87,75185.47,HistGradientBoostingRegressor
2026-01-05,2,SKU049,Product 049,Lighting,Organizer,179.7,177.0,179.7,172.8,186.9,5223.37,2063.03,938639.59,HistGradientBoostingRegressor
2026-01-05,2,SKU050,Product 050,Storage,Sofa,38.4,40.0,38.4,31.5,45.6,882.72,701.85,33896.45,HistGradientBoostingRegressor
2026-01-12,3,SKU001,Product 001,Furniture,Chair,92.2,89.0,92.2,85.3,99.4,3664.05,1758.45,337825.41,HistGradientBoostingRegressor
2026-01-12,3,SKU002,Product 002,Home Decor,Table,65.4,67.0,65.4,58.5,72.6,3805.69,3867.09,248892.13,HistGradientBoostingRegressor
2026-01-12,3,SKU003,Product 003,Kitchen,Cushion,34.3,41.0,34.3,27.4,41.5,8078.23,589.48,277083.29,HistGradientBoostingRegressor
2026-01-12,3,SKU004,Product 004,Lighting,Cookware,33.4,24.0,33.4,26.5,40.6,6861.57,1445.74,229176.44,HistGradientBoostingRegressor
2026-01-12,3,SKU005,Product 005,Storage,Lamp,118.2,133.0,118.2,111.3,125.4,9493.22,5543.63,1122098.6,HistGradientBoostingRegressor
2026-01-12,3,SKU006,Product 006,Furniture,Shelf,46.8,46.0,46.8,39.9,54.0,8106.04,6021.91,379362.67,HistGradientBoostingRegressor
2026-01-12,3,SKU007,Product 007,Home Decor,Cabinet,163.2,156.0,163.2,156.3,170.4,5114.09,7748.2,834619.49,HistGradientBoostingRegressor
2026-01-12,3,SKU008,Product 008,Kitchen,Rug,113.0,111.0,113.0,106.1,120.2,9842.64,2775.15,1112218.32,HistGradientBoostingRegressor
2026-01-12,3,SKU009,Product 009,Lighting,Organizer,81.3,70.0,81.3,74.4,88.5,2336.89,3121.06,189989.16,HistGradientBoostingRegressor
2026-01-12,3,SKU010,Product 010,Storage,Sofa,111.9,113.0,111.9,105.0,119.1,663.46,3889.06,74241.17,HistGradientBoostingRegressor
2026-01-12,3,SKU011,Product 011,Furniture,Chair,21.2,19.0,21.2,14.3,28.4,1444.56,1718.4,30624.67,HistGradientBoostingRegressor
2026-01-12,3,SKU012,Product 012,Home Decor,Table,179.5,194.0,179.5,172.6,186.7,8779.37,1256.89,1575896.92,HistGradientBoostingRegressor
2026-01-12,3,SKU013,Product 013,Kitchen,Cushion,91.0,98.0,91.0,84.1,98.2,5757.78,3936.71,523957.98,HistGradientBoostingRegressor
2026-01-12,3,SKU014,Product 014,Lighting,Cookware,138.7,144.0,138.7,131.8,145.9,2270.75,2008.55,314953.02,HistGradientBoostingRegressor
2026-01-12,3,SKU015,Product 015,Storage,Lamp,24.6,27.0,24.6,17.7,31.8,6212.12,5441.06,152818.15,HistGradientBoostingRegressor
2026-01-12,3,SKU016,Product 016,Furniture,Shelf,86.2,76.0,86.2,79.3,93.4,2166.82,3637.93,186779.88,HistGradientBoostingRegressor
2026-01-12,3,SKU017,Product 017,Home Decor,Cabinet,99.8,106.0,99.8,92.9,107.0,8477.32,6703.26,846036.54,HistGradientBoostingRegressor
2026-01-12,3,SKU018,Product 018,Kitchen,Rug,174.1,164.0,174.1,167.2,181.3,5575.41,5677.05,970678.88,HistGradientBoostingRegressor
2026-01-12,3,SKU019,Product 019,Lighting,Organizer,116.8,113.0,116.8,109.9,124.0,4819.85,2670.84,562958.48,HistGradientBoostingRegressor
2026-01-12,3,SKU020,Product 020,Storage,Sofa,93.3,95.0,93.3,86.4,100.5,3897.54,6700.01,363640.48,HistGradientBoostingRegressor
2026-01-12,3,SKU021,Product 021,Furniture,Chair,53.1,60.0,53.1,46.2,60.3,7711.28,6486.92,409468.97,HistGradientBoostingRegressor
2026-01-12,3,SKU022,Product 022,Home Decor,Table,74.1,69.0,74.1,67.2,81.3,4597.03,3252.96,340639.92,HistGradientBoostingRegressor
2026-01-12,3,SKU023,Product 023,Kitchen,Cushion,102.4,92.0,102.4,95.5,109.6,1416.74,2484.54,145074.18,HistGradientBoostingRegressor
2026-01-12,3,SKU024,Product 024,Lighting,Cookware,84.5,73.0,84.5,77.6,91.7,1768.87,5539.34,149469.51,HistGradientBoostingRegressor
2026-01-12,3,SKU025,Product 025,Storage,Lamp,19.4,12.0,19.4,12.5,26.6,11558.01,1333.08,224225.39,HistGradientBoostingRegressor
2026-01-12,3,SKU026,Product 026,Furniture,Shelf,160.6,136.0,160.6,153.7,167.8,10939.54,1799.29,1756890.12,HistGradientBoostingRegressor
2026-01-12,3,SKU027,Product 027,Home Decor,Cabinet,175.2,190.0,175.2,168.3,182.4,8516.6,307.06,1492108.32,HistGradientBoostingRegressor
2026-01-12,3,SKU028,Product 028,Kitchen,Rug,32.1,43.0,32.1,25.2,39.3,3484.09,6348.66,111839.29,HistGradientBoostingRegressor
2026-01-12,3,SKU029,Product 029,Lighting,Organizer,112.7,124.0,112.7,105.8,119.9,11642.45,5402.59,1312104.12,HistGradientBoostingRegressor
2026-01-12,3,SKU030,Product 030,Storage,Sofa,31.9,34.0,31.9,25.0,39.1,9433.51,5715.03,300928.97,HistGradientBoostingRegressor
2026-01-12,3,SKU031,Product 031,Furniture,Chair,135.6,132.0,135.6,128.7,142.8,8715.93,6300.65,1181880.11,HistGradientBoostingRegressor
2026-01-12,3,SKU032,Product 032,Home Decor,Table,66.5,67.0,66.5,59.6,73.7,5612.59,3806.6,373237.23,HistGradientBoostingRegressor
2026-01-12,3,SKU033,Product 033,Kitchen,Cushion,122.6,138.0,122.6,115.7,129.8,3558.0,4657.74,436210.8,HistGradientBoostingRegressor
2026-01-12,3,SKU034,Product 034,Lighting,Cookware,137.2,134.0,137.2,130.3,144.4,1518.14,1333.43,208288.81,HistGradientBoostingRegressor
2026-01-12,3,SKU035,Product 035,Storage,Lamp,145.7,122.0,145.7,138.8,152.9,10870.19,1137.61,1583786.68,HistGradientBoostingRegressor
2026-01-12,3,SKU036,Product 036,Furniture,Shelf,32.6,36.0,32.6,25.7,39.8,5687.0,5430.12,185396.2,HistGradientBoostingRegressor
2026-01-12,3,SKU037,Product 037,Home Decor,Cabinet,160.1,158.0,160.1,153.2,167.3,2747.42,3901.0,439861.94,HistGradientBoostingRegressor
2026-01-12,3,SKU038,Product 038,Kitchen,Rug,50.8,48.0,50.8,43.9,58.0,3949.1,4630.58,200614.28,HistGradientBoostingRegressor
2026-01-12,3,SKU039,Product 039,Lighting,Organizer,21.5,25.0,21.5,14.6,28.7,7118.95,6178.74,153057.42,HistGradientBoostingRegressor
2026-01-12,3,SKU040,Product 040,Storage,Sofa,98.6,112.0,98.6,91.7,105.8,2450.56,5169.07,241625.22,HistGradientBoostingRegressor
2026-01-12,3,SKU041,Product 041,Furniture,Chair,74.8,74.0,74.8,67.9,82.0,10336.73,4540.24,773187.4,HistGradientBoostingRegressor
2026-01-12,3,SKU042,Product 042,Home Decor,Table,158.8,155.0,158.8,151.9,166.0,9198.83,4583.86,1460774.2,HistGradientBoostingRegressor
2026-01-12,3,SKU043,Product 043,Kitchen,Cushion,149.6,157.0,149.6,142.7,156.8,8745.77,2605.61,1308367.19,HistGradientBoostingRegressor
2026-01-12,3,SKU044,Product 044,Lighting,Cookware,72.7,81.0,72.7,65.8,79.9,5412.28,488.84,393472.76,HistGradientBoostingRegressor
2026-01-12,3,SKU045,Product 045,Storage,Lamp,158.3,145.0,158.3,151.4,165.5,7676.78,3634.56,1215234.27,HistGradientBoostingRegressor
2026-01-12,3,SKU046,Product 046,Furniture,Shelf,64.7,66.0,64.7,57.8,71.9,7175.54,1913.03,464257.44,HistGradientBoostingRegressor
2026-01-12,3,SKU047,Product 047,Home Decor,Cabinet,99.8,84.0,99.8,92.9,107.0,7938.22,3416.1,792234.36,HistGradientBoostingRegressor
2026-01-12,3,SKU048,Product 048,Kitchen,Rug,54.9,61.0,54.9,48.0,62.1,1379.55,6863.87,75737.29,HistGradientBoostingRegressor
2026-01-12,3,SKU049,Product 049,Lighting,Organizer,174.1,183.0,174.1,167.2,181.3,5223.37,2063.03,909388.72,HistGradientBoostingRegressor
2026-01-12,3,SKU050,Product 050,Storage,Sofa,42.2,40.0,42.2,35.3,49.4,882.72,701.85,37250.78,HistGradientBoostingRegressor
2026-01-19,4,SKU001,Product 001,Furniture,Chair,92.8,103.0,92.8,85.9,100.0,3664.05,1758.45,340023.84,HistGradientBoostingRegressor
2026-01-19,4,SKU002,Product 002,Home Decor,Table,65.5,66.0,65.5,58.6,72.7,3805.69,3867.09,249272.7,HistGradientBoostingRegressor
2026-01-19,4,SKU003,Product 003,Kitchen,Cushion,37.1,23.0,37.1,30.2,44.3,8078.23,589.48,299702.33,HistGradientBoostingRegressor
2026-01-19,4,SKU004,Product 004,Lighting,Cookware,34.7,38.0,34.7,27.8,41.9,6861.57,1445.74,238096.48,HistGradientBoostingRegressor
2026-01-19,4,SKU005,Product 005,Storage,Lamp,109.4,110.0,109.4,102.5,116.6,9493.22,5543.63,1038558.27,HistGradientBoostingRegressor
2026-01-19,4,SKU006,Product 006,Furniture,Shelf,47.1,51.0,47.1,40.2,54.3,8106.04,6021.91,381794.48,HistGradientBoostingRegressor
2026-01-19,4,SKU007,Product 007,Home Decor,Cabinet,177.1,179.0,177.1,170.2,184.3,5114.09,7748.2,905705.34,HistGradientBoostingRegressor
2026-01-19,4,SKU008,Product 008,Kitchen,Rug,112.7,106.0,112.7,105.8,119.9,9842.64,2775.15,1109265.53,HistGradientBoostingRegressor
2026-01-19,4,SKU009,Product 009,Lighting,Organizer,81.8,71.0,81.8,74.9,89.0,2336.89,3121.06,191157.6,HistGradientBoostingRegressor
2026-01-19,4,SKU010,Product 010,Storage,Sofa,110.6,118.0,110.6,103.7,117.8,663.46,3889.06,73378.68,HistGradientBoostingRegressor
2026-01-19,4,SKU011,Product 011,Furniture,Chair,22.0,24.0,22.0,15.1,29.2,1444.56,1718.4,31780.32,HistGradientBoostingRegressor
2026-01-19,4,SKU012,Product 012,Home Decor,Table,181.3,191.0,181.3,174.4,188.5,8779.37,1256.89,1591699.78,HistGradientBoostingRegressor
2026-01-19,4,SKU013,Product 013,Kitchen,Cushion,92.1,87.0,92.1,85.2,99.3,5757.78,3936.71,530291.54,HistGradientBoostingRegressor
2026-01-19,4,SKU014,Product 014,Lighting,Cookware,158.7,181.0,158.7,151.8,165.9,2270.75,2008.55,360368.02,HistGradientBoostingRegressor
2026-01-19,4,SKU015,Product 015,Storage,Lamp,26.5,32.0,26.5,19.6,33.7,6212.12,5441.06,164621.18,HistGradientBoostingRegressor
2026-01-19,4,SKU016,Product 016,Furniture,Shelf,95.6,100.0,95.6,88.7,102.8,2166.82,3637.93,207147.99,HistGradientBoostingRegressor
2026-01-19,4,SKU017,Product 017,Home Decor,Cabinet,103.7,89.0,103.7,96.8,110.9,8477.32,6703.26,879098.08,HistGradientBoostingRegressor
2026-01-19,4,SKU018,Product 018,Kitchen,Rug,173.3,163.0,173.3,166.4,180.5,5575.41,5677.05,966218.55,HistGradientBoostingRegressor
2026-01-19,4,SKU019,Product 019,Lighting,Organizer,110.1,115.0,110.1,103.2,117.3,4819.85,2670.84,530665.48,HistGradientBoostingRegressor
2026-01-19,4,SKU020,Product 020,Storage,Sofa,95.3,100.0,95.3,88.4,102.5,3897.54,6700.01,371435.56,HistGradientBoostingRegressor
2026-01-19,4,SKU021,Product 021,Furniture,Chair,53.0,57.0,53.0,46.1,60.2,7711.28,6486.92,408697.84,HistGradientBoostingRegressor
2026-01-19,4,SKU022,Product 022,Home Decor,Table,79.4,79.0,79.4,72.5,86.6,4597.03,3252.96,365004.18,HistGradientBoostingRegressor
2026-01-19,4,SKU023,Product 023,Kitchen,Cushion,102.9,83.0,102.9,96.0,110.1,1416.74,2484.54,145782.55,HistGradientBoostingRegressor
