Snapshot_Date,SKU,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,Inventory_Value,is_active_sales_sku,Product_Status,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,Negative_Margin_Flag
2025-12-01,SKU001,771,147,4,159,289,2815160.01,True,Active Commercial,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,0.0
2025-12-01,SKU002,526,29,3,94,149,2974319.6,True,Active Commercial,Product 002,Home Decor,Table,2024-05-01,3867.09,3805.69,-61.4,1.0
2025-12-01,SKU003,349,12,3,88,123,2145941.67,True,Active Commercial,Product 003,Kitchen,Cushion,2023-12-22,589.48,8078.23,7488.75,0.0
2025-12-01,SKU004,259,254,6,98,196,321905.92,True,Active Commercial,Product 004,Lighting,Cookware,2023-04-28,1445.74,6861.57,5415.83,0.0
2025-12-01,SKU005,471,291,6,129,245,3500674.53,True,Active Commercial,Product 005,Storage,Lamp,2023-04-22,5543.63,9493.22,3949.59,0.0
2025-12-01,SKU006,359,485,13,129,340,2378877.6,True,Active Commercial,Product 006,Furniture,Shelf,2024-08-02,6021.91,8106.04,2084.13,0.0
2025-12-01,SKU007,207,460,8,98,237,941442.21,True,Active Commercial,Product 007,Home Decor,Cabinet,2022-04-05,7748.2,5114.09,-2634.11,1.0
2025-12-01,SKU008,325,155,3,91,161,2165845.5,True,Active Commercial,Product 008,Kitchen,Rug,2024-02-07,2775.15,9842.64,7067.49,0.0
2025-12-01,SKU009,75,89,7,63,131,224818.5,True,Active Commercial,Product 009,Lighting,Organizer,2022-08-10,3121.06,2336.89,-784.17,1.0
2025-12-01,SKU010,83,70,13,22,60,595250.27,True,Active Commercial,Product 010,Storage,Sofa,2022-04-14,3889.06,663.46,-3225.6,1.0
2025-12-01,SKU011,753,269,3,179,247,2911918.77,True,Active Commercial,Product 011,Furniture,Chair,2023-08-03,1718.4,1444.56,-273.84,1.0
2025-12-01,SKU012,47,60,12,16,58,67949.78,True,Active Commercial,Product 012,Home Decor,Table,2024-12-09,1256.89,8779.37,7522.48,0.0
2025-12-01,SKU013,151,95,4,32,61,1169978.2,True,Active Commercial,Product 013,Kitchen,Cushion,2024-03-20,3936.71,5757.78,1821.07,0.0
2025-12-01,SKU014,309,334,10,130,299,964407.54,True,Active Commercial,Product 014,Lighting,Cookware,2024-04-17,2008.55,2270.75,262.2,0.0
2025-12-01,SKU015,187,245,9,119,265,235038.43,True,Active Commercial,Product 015,Storage,Lamp,2024-02-29,5441.06,6212.12,771.06,0.0
2025-12-01,SKU016,255,187,11,30,129,512180.25,True,Active Commercial,Product 016,Furniture,Shelf,2024-05-14,3637.93,2166.82,-1471.11,1.0
2025-12-01,SKU017,95,26,12,108,274,636809.7,True,Active Commercial,Product 017,Home Decor,Cabinet,2023-07-19,6703.26,8477.32,1774.06,0.0
2025-12-01,SKU018,235,102,8,66,184,627647.4,True,Active Commercial,Product 018,Kitchen,Rug,2022-05-21,5677.05,5575.41,-101.64,1.0
2025-12-01,SKU019,227,114,14,25,126,738421.92,True,Active Commercial,Product 019,Lighting,Organizer,2024-07-12,2670.84,4819.85,2149.01,0.0
2025-12-01,SKU020,1002,353,3,129,227,5550418.68,True,Active Commercial,Product 020,Storage,Sofa,2023-05-11,6700.01,3897.54,-2802.47,1.0
2025-12-01,SKU021,88,97,9,36,88,27021.28,True,Active Commercial,Product 021,Furniture,Chair,2023-07-05,6486.92,7711.28,1224.36,0.0
2025-12-01,SKU022,95,194,8,76,163,513246.05,True,Active Commercial,Product 022,Home Decor,Table,2023-02-12,3252.96,4597.03,1344.07,0.0
2025-12-01,SKU023,130,79,12,41,148,494858.0,True,Active Commercial,Product 023,Kitchen,Cushion,2022-07-20,2484.54,1416.74,-1067.8,1.0
2025-12-01,SKU024,341,18,14,60,259,454699.63,True,Active Commercial,Product 024,Lighting,Cookware,2024-10-16,5539.34,1768.87,-3770.47,1.0
2025-12-01,SKU025,1124,61,14,121,582,4384724.0,True,Active Commercial,Product 025,Storage,Lamp,2024-05-09,1333.08,11558.01,10224.93,0.0
2025-12-01,SKU026,160,70,5,31,59,988598.4,True,Active Commercial,Product 026,Furniture,Shelf,2023-12-10,1799.29,10939.54,9140.25,0.0
