SKU,Product_Name,Category,Current_Stock,On_Order,Lead_Time_Days,Safety_Stock,Reorder_Point,lead_time_demand,available_units,required_inventory_buffer,current_stock_below_reorder_point,reorder_gap_units,lead_time_stock_gap,safety_stock_gap,buffer_gap_units,units_at_stockout_risk,stockout_score,stockout_flag,forward_demand_units,excess_units,overstock_score,overstock_flag,decision_quadrant,recommended_action,action_rationale,revenue_at_risk,inventory_value_tied_up,value_at_stake
SKU001,Product 001,Furniture,771,147,4,159,289,51.3,918,210.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,367.4,403.6,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 771 units vs 4-week forecast demand of 367.4; 403.6 excess units.,0.0,709710.42,709710.42
SKU002,Product 002,Home Decor,526,29,3,94,149,26.1,555,120.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,250.3,275.7,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 526 units vs 4-week forecast demand of 250.3; 275.7 excess units.,0.0,1066156.71,1066156.71
SKU003,Product 003,Kitchen,349,12,3,88,123,14.2,361,102.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,137.7,211.3,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 349 units vs 4-week forecast demand of 137.7; 211.3 excess units.,0.0,124557.12,124557.12
SKU004,Product 004,Lighting,259,254,6,98,196,30.1,513,128.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,137.7,121.3,0.94,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 259 units vs 4-week forecast demand of 137.7; 121.3 excess units.,0.0,175368.26,175368.26
SKU005,Product 005,Storage,471,291,6,129,245,99.3,762,228.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,457.9,13.1,0.514,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 471 units vs 4-week forecast demand of 457.9; 13.1 excess units.,0.0,72621.55,72621.55
SKU006,Product 006,Furniture,359,485,13,129,340,80.5,844,209.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,180.7,178.3,0.993,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 359 units vs 4-week forecast demand of 180.7; 178.3 excess units.,0.0,1073706.55,1073706.55
SKU007,Product 007,Home Decor,207,460,8,98,237,193.9,667,291.9,1,30.0,0.0,0.0,0.0,0.0,0.0,0,675.2,0.0,0.153,0,Healthy,Maintain current inventory position and monitor,Available inventory (667) safely covers required buffer (291.9) and stock is within 4-week demand.,0.0,0.0,0.0
SKU008,Product 008,Kitchen,325,155,3,91,161,48.1,480,139.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,456.0,0.0,0.356,0,Healthy,Maintain current inventory position and monitor,Available inventory (480) safely covers required buffer (139.1) and stock is within 4-week demand.,0.0,0.0,0.0
SKU009,Product 009,Lighting,75,89,7,63,131,78.3,164,141.3,1,56.0,0.0,0.0,0.0,0.0,0.42,0,321.9,0.0,0.116,0,Healthy,Maintain current inventory position and monitor,Available inventory (164) safely covers required buffer (141.3) and stock is within 4-week demand.,0.0,0.0,0.0
SKU010,Product 010,Storage,83,70,13,22,60,215.4,153,237.4,0,0.0,62.4,0.0,84.4,84.4,0.678,1,454.7,0.0,0.091,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (153) breaches required buffer (237.4 = 215.4 LTD + 22 SS); buffer gap is 84.4 units.,55996.02,0.0,55996.02
SKU011,Product 011,Furniture,753,269,3,179,247,8.0,1022,187.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,81.6,671.4,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 753 units vs 4-week forecast demand of 81.6; 671.4 excess units.,0.0,1153733.76,1153733.76
SKU012,Product 012,Home Decor,47,60,12,16,58,298.9,107,314.9,1,11.0,191.9,0.0,207.9,207.9,0.83,1,709.3,0.0,0.033,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (107) breaches required buffer (314.9 = 298.9 LTD + 16 SS); buffer gap is 207.9 units.,1825231.02,0.0,1825231.02
SKU013,Product 013,Kitchen,151,95,4,32,61,48.6,246,80.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,359.8,0.0,0.21,0,Healthy,Maintain current inventory position and monitor,Available inventory (246) safely covers required buffer (80.6) and stock is within 4-week demand.,0.0,0.0,0.0
SKU014,Product 014,Lighting,309,334,10,130,299,191.4,643,321.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,567.2,0.0,0.272,0,Healthy,Maintain current inventory position and monitor,Available inventory (643) safely covers required buffer (321.4) and stock is within 4-week demand.,0.0,0.0,0.0
SKU015,Product 015,Storage,187,245,9,119,265,32.1,432,151.1,1,78.0,0.0,0.0,0.0,0.0,0.0,0,101.9,85.1,0.918,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 187 units vs 4-week forecast demand of 101.9; 85.1 excess units.,0.0,463034.21,463034.21
SKU016,Product 016,Furniture,255,187,11,30,129,137.9,442,167.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0,357.4,0.0,0.357,0,Healthy,Maintain current inventory position and monitor,Available inventory (442) safely covers required buffer (167.9) and stock is within 4-week demand.,0.0,0.0,0.0
SKU017,Product 017,Home Decor,95,26,12,108,274,170.4,121,278.4,1,179.0,49.4,0.0,157.4,157.4,0.783,1,402.0,0.0,0.118,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (121) breaches required buffer (278.4 = 170.4 LTD + 108 SS); buffer gap is 157.4 units.,1334330.17,0.0,1334330.17
SKU018,Product 018,Kitchen,235,102,8,66,184,200.0,337,266.0,0,0.0,0.0,0.0,0.0,0.0,0.367,0,698.4,0.0,0.168,0,Healthy,Maintain current inventory position and monitor,Available inventory (337) safely covers required buffer (266.0) and stock is within 4-week demand.,0.0,0.0,0.0
SKU019,Product 019,Lighting,227,114,14,25,126,222.2,341,247.2,0,0.0,0.0,0.0,0.0,0.0,0.31,0,449.1,0.0,0.253,0,Healthy,Maintain current inventory position and monitor,Available inventory (341) safely covers required buffer (247.2) and stock is within 4-week demand.,0.0,0.0,0.0
SKU020,Product 020,Storage,1002,353,3,129,227,41.1,1355,170.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,377.1,624.9,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 1002 units vs 4-week forecast demand of 377.1; 624.9 excess units.,0.0,4186836.25,4186836.25
SKU021,Product 021,Furniture,88,97,9,36,88,68.2,185,104.2,1,0.0,0.0,0.0,0.0,0.0,0.112,0,214.1,0.0,0.206,0,Healthy,Maintain current inventory position and monitor,Available inventory (185) safely covers required buffer (104.2) and stock is within 4-week demand.,0.0,0.0,0.0
SKU022,Product 022,Home Decor,95,194,8,76,163,84.5,289,160.5,1,68.0,0.0,0.0,0.0,0.0,0.1,0,304.3,0.0,0.156,0,Healthy,Maintain current inventory position and monitor,Available inventory (289) safely covers required buffer (160.5) and stock is within 4-week demand.,0.0,0.0,0.0
SKU023,Product 023,Kitchen,130,79,12,41,148,187.2,209,228.2,1,18.0,0.0,0.0,19.2,19.2,0.542,1,423.8,0.0,0.153,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (209) breaches required buffer (228.2 = 187.2 LTD + 41 SS); buffer gap is 19.2 units.,27201.41,0.0,27201.41
SKU024,Product 024,Lighting,341,18,14,60,259,171.2,359,231.2,0,0.0,0.0,0.0,0.0,0.0,0.224,0,339.3,1.7,0.503,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 341 units vs 4-week forecast demand of 339.3; 1.7 excess units.,0.0,9416.88,9416.88
SKU025,Product 025,Storage,1124,61,14,121,582,38.5,1185,159.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,80.1,1043.9,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 1124 units vs 4-week forecast demand of 80.1; 1043.9 excess units.,0.0,1391602.21,1391602.21
SKU026,Product 026,Furniture,160,70,5,31,59,112.0,230,143.0,0,0.0,0.0,0.0,0.0,0.0,0.196,0,620.4,0.0,0.129,0,Healthy,Maintain current inventory position and monitor,Available inventory (230) safely covers required buffer (143.0) and stock is within 4-week demand.,0.0,0.0,0.0
SKU027,Product 027,Home Decor,567,103,3,83,133,74.8,670,157.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,696.9,0.0,0.407,0,Healthy,Maintain current inventory position and monitor,Available inventory (670) safely covers required buffer (157.8) and stock is within 4-week demand.,0.0,0.0,0.0
SKU028,Product 028,Kitchen,174,55,11,114,337,51.8,229,165.8,1,163.0,0.0,0.0,0.0,0.0,0.309,0,131.6,42.4,0.661,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 174 units vs 4-week forecast demand of 131.6; 42.4 excess units.,0.0,269183.18,269183.18
SKU029,Product 029,Lighting,261,520,5,196,329,76.1,781,272.1,1,68.0,0.0,0.0,0.0,0.0,0.0,0,441.2,0.0,0.296,0,Healthy,Maintain current inventory position and monitor,Available inventory (781) safely covers required buffer (272.1) and stock is within 4-week demand.,0.0,0.0,0.0
SKU030,Product 030,Storage,166,32,9,43,104,38.6,198,81.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0,127.6,38.4,0.65,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 166 units vs 4-week forecast demand of 127.6; 38.4 excess units.,0.0,219457.15,219457.15
SKU031,Product 031,Furniture,93,40,13,28,113,233.7,133,261.7,1,20.0,100.7,0.0,128.7,128.7,0.746,1,520.9,0.0,0.089,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (133) breaches required buffer (261.7 = 233.7 LTD + 28 SS); buffer gap is 128.7 units.,1121740.19,0.0,1121740.19
SKU032,Product 032,Home Decor,278,214,11,60,185,94.1,492,154.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,251.3,26.7,0.553,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 278 units vs 4-week forecast demand of 251.3; 26.7 excess units.,0.0,101636.22,101636.22
SKU033,Product 033,Kitchen,208,168,12,55,183,194.3,376,249.3,0,0.0,0.0,0.0,0.0,0.0,0.246,0,468.6,0.0,0.222,0,Healthy,Maintain current inventory position and monitor,Available inventory (376) safely covers required buffer (249.3) and stock is within 4-week demand.,0.0,0.0,0.0
SKU034,Product 034,Lighting,34,103,5,34,58,95.6,137,129.6,1,24.0,0.0,0.0,0.0,0.0,0.471,0,550.9,0.0,0.031,0,Healthy,Maintain current inventory position and monitor,Available inventory (137) safely covers required buffer (129.6) and stock is within 4-week demand.,0.0,0.0,0.0
SKU035,Product 035,Storage,670,76,8,137,304,164.4,746,301.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,586.7,83.3,0.571,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 670 units vs 4-week forecast demand of 586.7; 83.3 excess units.,0.0,94762.91,94762.91
SKU036,Product 036,Furniture,383,135,3,77,129,13.2,518,90.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,129.8,253.2,1.0,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 383 units vs 4-week forecast demand of 129.8; 253.2 excess units.,0.0,1374906.38,1374906.38
SKU037,Product 037,Home Decor,355,687,8,315,644,181.7,1042,496.7,1,289.0,0.0,0.0,0.0,0.0,0.0,0,653.0,0.0,0.272,0,Healthy,Maintain current inventory position and monitor,Available inventory (1042) safely covers required buffer (496.7) and stock is within 4-week demand.,0.0,0.0,0.0
SKU038,Product 038,Kitchen,159,310,12,56,175,87.7,469,143.7,1,16.0,0.0,0.0,0.0,0.0,0.0,0,205.6,0.0,0.387,0,Healthy,Maintain current inventory position and monitor,Available inventory (469) safely covers required buffer (143.7) and stock is within 4-week demand.,0.0,0.0,0.0
SKU039,Product 039,Lighting,93,35,3,17,31,7.8,128,24.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0,81.8,11.2,0.568,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 93 units vs 4-week forecast demand of 81.8; 11.2 excess units.,0.0,69201.89,69201.89
SKU040,Product 040,Storage,67,29,9,36,93,122.6,96,158.6,1,26.0,26.6,0.0,62.6,62.6,0.697,1,387.4,0.0,0.086,0,Reorder Now,Prioritize replenishment purchase order review,Available inventory (96) breaches required buffer (158.6 = 122.6 LTD + 36 SS); buffer gap is 62.6 units.,153405.06,0.0,153405.06
SKU041,Product 041,Furniture,440,40,4,78,139,43.4,480,121.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,305.6,134.4,0.72,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 440 units vs 4-week forecast demand of 305.6; 134.4 excess units.,0.0,610208.26,610208.26
SKU042,Product 042,Home Decor,90,120,6,41,88,136.9,210,177.9,0,0.0,0.0,0.0,0.0,0.0,0.41,0,624.3,0.0,0.072,0,Healthy,Maintain current inventory position and monitor,Available inventory (210) safely covers required buffer (177.9) and stock is within 4-week demand.,0.0,0.0,0.0
SKU043,Product 043,Kitchen,559,211,12,142,393,277.0,770,419.0,0,0.0,0.0,0.0,0.0,0.0,0.081,0,629.7,0.0,0.444,0,Healthy,Maintain current inventory position and monitor,Available inventory (770) safely covers required buffer (419.0) and stock is within 4-week demand.,0.0,0.0,0.0
SKU044,Product 044,Lighting,223,39,5,55,93,44.3,262,99.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,278.1,0.0,0.401,0,Healthy,Maintain current inventory position and monitor,Available inventory (262) safely covers required buffer (99.3) and stock is within 4-week demand.,0.0,0.0,0.0
SKU045,Product 045,Storage,307,142,4,88,142,94.2,449,182.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,669.6,0.0,0.229,0,Healthy,Maintain current inventory position and monitor,Available inventory (449) safely covers required buffer (182.2) and stock is within 4-week demand.,0.0,0.0,0.0
SKU046,Product 046,Furniture,119,182,4,46,96,33.5,301,79.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,255.6,0.0,0.233,0,Healthy,Maintain current inventory position and monitor,Available inventory (301) safely covers required buffer (79.5) and stock is within 4-week demand.,0.0,0.0,0.0
SKU047,Product 047,Home Decor,201,129,9,44,99,138.3,330,182.3,0,0.0,0.0,0.0,0.0,0.0,0.095,0,416.0,0.0,0.242,0,Healthy,Maintain current inventory position and monitor,Available inventory (330) safely covers required buffer (182.3) and stock is within 4-week demand.,0.0,0.0,0.0
SKU048,Product 048,Kitchen,106,50,3,22,31,22.3,156,44.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,217.1,0.0,0.244,0,Healthy,Maintain current inventory position and monitor,Available inventory (156) safely covers required buffer (44.3) and stock is within 4-week demand.,0.0,0.0,0.0
SKU049,Product 049,Lighting,780,599,5,206,344,127.0,1379,333.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,707.5,72.5,0.551,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 780 units vs 4-week forecast demand of 707.5; 72.5 excess units.,0.0,149569.68,149569.68
SKU050,Product 050,Storage,328,525,14,69,316,79.2,853,148.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,164.4,163.6,0.998,1,Markdown / Clear,Review clearance and promotional markdown strategy,Holding 328 units vs 4-week forecast demand of 164.4; 163.6 excess units.,0.0,114822.66,114822.66
