Week_Start,SKU,Weekly_Units,Weekly_Revenue,Avg_Price,Promo_Days_Sales,Promo_Days_Cal,Holiday_Days,Year,Month,Week_Number,Season,Product_Name,Category,Subcategory,Launch_Date,Cost_Price,Selling_Price,Gross_Margin_Per_Unit,Negative_Margin_Flag
2024-01-01,SKU001,106,388389.3,3664.05,0,0,0,2024,1,1,Winter,Product 001,Furniture,Chair,2022-04-09,1758.45,3664.05,1905.6,0
2024-01-01,SKU002,83,315872.27,3805.69,0,0,0,2024,1,1,Winter,Product 002,Home Decor,Table,2024-05-01,3867.09,3805.69,-61.4,1
2024-01-01,SKU003,36,290816.28,8078.23,0,0,0,2024,1,1,Winter,Product 003,Kitchen,Cushion,2023-12-22,589.48,8078.23,7488.75,0
2024-01-01,SKU004,31,212708.67,6861.57,0,0,0,2024,1,1,Winter,Product 004,Lighting,Cookware,2023-04-28,1445.74,6861.57,5415.83,0
2024-01-01,SKU005,109,1034760.98,9493.22,0,0,0,2024,1,1,Winter,Product 005,Storage,Lamp,2023-04-22,5543.63,9493.22,3949.59,0
2024-01-01,SKU006,38,308029.52,8106.04,0,0,0,2024,1,1,Winter,Product 006,Furniture,Shelf,2024-08-02,6021.91,8106.04,2084.13,0
2024-01-01,SKU007,172,879623.48,5114.09,0,0,0,2024,1,1,Winter,Product 007,Home Decor,Cabinet,2022-04-05,7748.2,5114.09,-2634.11,1
2024-01-01,SKU008,119,1171274.16,9842.64,0,0,0,2024,1,1,Winter,Product 008,Kitchen,Rug,2024-02-07,2775.15,9842.64,7067.49,0
2024-01-01,SKU009,70,163582.3,2336.89,0,0,0,2024,1,1,Winter,Product 009,Lighting,Organizer,2022-08-10,3121.06,2336.89,-784.17,1
2024-01-01,SKU010,111,73644.06,663.46,0,0,0,2024,1,1,Winter,Product 010,Storage,Sofa,2022-04-14,3889.06,663.46,-3225.6,1
2024-01-01,SKU011,14,20223.84,1444.56,0,0,0,2024,1,1,Winter,Product 011,Furniture,Chair,2023-08-03,1718.4,1444.56,-273.84,1
2024-01-01,SKU012,181,1589065.97,8779.37,0,0,0,2024,1,1,Winter,Product 012,Home Decor,Table,2024-12-09,1256.89,8779.37,7522.48,0
2024-01-01,SKU013,101,581535.78,5757.78,0,0,0,2024,1,1,Winter,Product 013,Kitchen,Cushion,2024-03-20,3936.71,5757.78,1821.07,0
2024-01-01,SKU014,155,351966.25,2270.75,0,0,0,2024,1,1,Winter,Product 014,Lighting,Cookware,2024-04-17,2008.55,2270.75,262.2,0
2024-01-01,SKU015,35,217424.2,6212.12,0,0,0,2024,1,1,Winter,Product 015,Storage,Lamp,2024-02-29,5441.06,6212.12,771.06,0
2024-01-01,SKU016,81,175512.42,2166.82,0,0,0,2024,1,1,Winter,Product 016,Furniture,Shelf,2024-05-14,3637.93,2166.82,-1471.11,1
2024-01-01,SKU017,84,712094.88,8477.32,0,0,0,2024,1,1,Winter,Product 017,Home Decor,Cabinet,2023-07-19,6703.26,8477.32,1774.06,0
2024-01-01,SKU018,176,981272.16,5575.41,0,0,0,2024,1,1,Winter,Product 018,Kitchen,Rug,2022-05-21,5677.05,5575.41,-101.64,1
2024-01-01,SKU019,101,486804.85,4819.85,0,0,0,2024,1,1,Winter,Product 019,Lighting,Organizer,2024-07-12,2670.84,4819.85,2149.01,0
2024-01-01,SKU020,92,358573.68,3897.54,0,0,0,2024,1,1,Winter,Product 020,Storage,Sofa,2023-05-11,6700.01,3897.54,-2802.47,1
2024-01-01,SKU021,50,385564.0,7711.28,0,0,0,2024,1,1,Winter,Product 021,Furniture,Chair,2023-07-05,6486.92,7711.28,1224.36,0
2024-01-01,SKU022,64,294209.92,4597.03,0,0,0,2024,1,1,Winter,Product 022,Home Decor,Table,2023-02-12,3252.96,4597.03,1344.07,0
2024-01-01,SKU023,100,141674.0,1416.74,0,0,0,2024,1,1,Winter,Product 023,Kitchen,Cushion,2022-07-20,2484.54,1416.74,-1067.8,1
2024-01-01,SKU024,93,164504.91,1768.87,0,0,0,2024,1,1,Winter,Product 024,Lighting,Cookware,2024-10-16,5539.34,1768.87,-3770.47,1
2024-01-01,SKU025,14,161812.14,11558.01,0,0,0,2024,1,1,Winter,Product 025,Storage,Lamp,2024-05-09,1333.08,11558.01,10224.93,0
2024-01-01,SKU026,166,1815963.64,10939.54,0,0,0,2024,1,1,Winter,Product 026,Furniture,Shelf,2023-12-10,1799.29,10939.54,9140.25,0
2024-01-01,SKU027,162,1379689.2,8516.6,0,0,0,2024,1,1,Winter,Product 027,Home Decor,Cabinet,2023-03-19,307.06,8516.6,8209.54,0
2024-01-01,SKU028,32,111490.88,3484.09,0,0,0,2024,1,1,Winter,Product 028,Kitchen,Rug,2024-06-24,6348.66,3484.09,-2864.57,1
2024-01-01,SKU029,114,1327239.3,11642.45,0,0,0,2024,1,1,Winter,Product 029,Lighting,Organizer,2023-08-23,5402.59,11642.45,6239.86,0
2024-01-01,SKU030,39,367906.89,9433.51,0,0,0,2024,1,1,Winter,Product 030,Storage,Sofa,2023-05-03,5715.03,9433.51,3718.48,0
